date,tactic,state,campaign,impression,clicks,spend,attributed revenue,channel
2025-06-30,Prospecting,NY,Facebook - Prospecting - C02,152070,1658,1942.89,4184.87,Facebook
2025-07-01,Prospecting,NY,Facebook - Prospecting - C02,125374,1555,1131.67,2896.43,Facebook
2025-07-02,Prospecting,NY,Facebook - Prospecting - C02,280160,3127,2921.03,7576.78,Facebook
2025-07-03,Prospecting,NY,Facebook - Prospecting - C02,162646,1948,2223.0,5428.92,Facebook
2025-07-04,Prospecting,NY,Facebook - Prospecting - C02,127468,1464,1797.59,4467.61,Facebook
2025-07-05,Prospecting,NY,Facebook - Prospecting - C02,151177,1993,1826.33,4040.93,Facebook
2025-07-06,Prospecting,NY,Facebook - Prospecting - C02,273989,3011,2671.61,6139.26,Facebook
2025-07-07,Prospecting,NY,Facebook - Prospecting - C02,507523,5810,4477.21,10317.19,Facebook
2025-07-08,Prospecting,NY,Facebook - Prospecting - C02,195389,2133,2035.81,4802.09,Facebook
2025-07-09,Prospecting,NY,Facebook - Prospecting - C02,218315,2513,1954.84,4001.98,Facebook
2025-07-10,Prospecting,NY,Facebook - Prospecting - C02,119697,1313,1312.33,3582.69,Facebook
2025-07-11,Prospecting,NY,Facebook - Prospecting - C02,175248,2090,2379.24,5610.44,Facebook
2025-07-12,Prospecting,NY,Facebook - Prospecting - C02,184313,2164,2111.7,4403.98,Facebook
2025-07-13,Prospecting,NY,Facebook - Prospecting - C02,266177,2980,2270.52,5114.02,Facebook
2025-07-14,Prospecting,NY,Facebook - Prospecting - C02,249246,2922,2611.21,6336.65,Facebook
2025-07-15,Prospecting,NY,Facebook - Prospecting - C02,189360,2488,2535.21,7148.1,Facebook
2025-07-16,Prospecting,NY,Facebook - Prospecting - C02,222564,2522,2780.72,5878.44,Facebook
2025-07-17,Prospecting,NY,Facebook - Prospecting - C02,111941,1220,1311.11,3415.87,Facebook
2025-07-18,Prospecting,NY,Facebook - Prospecting - C02,184319,2361,1859.43,4992.36,Facebook
2025-07-19,Prospecting,NY,Facebook - Prospecting - C02,321352,3716,1939.7,3904.67,Facebook
2025-07-20,Prospecting,NY,Facebook - Prospecting - C02,153392,1838,851.21,2070.99,Facebook
2025-07-21,Prospecting,NY,Facebook - Prospecting - C02,158356,1983,2098.52,4266.18,Facebook
2025-07-22,Prospecting,NY,Facebook - Prospecting - C02,124933,1411,765.21,1660.4,Facebook
2025-07-23,Prospecting,NY,Facebook - Prospecting - C02,136069,1701,1456.94,3837.36,Facebook
2025-07-24,Prospecting,NY,Facebook - Prospecting - C02,218813,2740,2122.7,5671.52,Facebook
2025-07-25,Prospecting,NY,Facebook - Prospecting - C02,163429,2144,1875.31,4225.98,Facebook
2025-07-26,Prospecting,NY,Facebook - Prospecting - C02,280613,3225,3924.26,8392.48,Facebook
2025-07-27,Prospecting,NY,Facebook - Prospecting - C02,166662,2170,1930.07,4210.88,Facebook
2025-07-28,Prospecting,NY,Facebook - Prospecting - C02,78738,992,989.61,2361.15,Facebook
2025-07-29,Prospecting,NY,Facebook - Prospecting - C02,123683,1549,1595.46,4332.61,Facebook
2025-07-30,Prospecting,NY,Facebook - Prospecting - C02,119070,1381,1522.25,4303.36,Facebook
2025-07-31,Prospecting,NY,Facebook - Prospecting - C02,189107,2140,1611.39,4086.44,Facebook
2025-08-01,Prospecting,NY,Facebook - Prospecting - C02,161010,1940,1088.7,2987.76,Facebook
2025-08-02,Prospecting,NY,Facebook - Prospecting - C02,159628,1885,1348.29,2807.29,Facebook
2025-08-03,Prospecting,NY,Facebook - Prospecting - C02,204725,2504,1357.68,3591.03,Facebook
2025-08-04,Prospecting,NY,Facebook - Prospecting - C02,230946,2723,2303.38,5761.64,Facebook
2025-08-05,Prospecting,NY,Facebook - Prospecting - C02,328623,3886,2833.45,7186.37,Facebook
2025-08-06,Prospecting,NY,Facebook - Prospecting - C02,180433,2276,2603.2,7066.4,Facebook
2025-08-07,Prospecting,NY,Facebook - Prospecting - C02,193793,2558,1593.91,3739.88,Facebook
2025-08-08,Prospecting,NY,Facebook - Prospecting - C02,102601,1314,825.14,1750.19,Facebook
2025-08-09,Prospecting,NY,Facebook - Prospecting - C02,191278,2460,2356.72,5438.22,Facebook
2025-08-10,Prospecting,NY,Facebook - Prospecting - C02,169601,1955,1883.04,4816.74,Facebook
2025-08-11,Prospecting,NY,Facebook - Prospecting - C02,228151,2563,1844.9,5037.42,Facebook
2025-08-12,Prospecting,NY,Facebook - Prospecting - C02,219834,2452,1987.63,4692.09,Facebook
2025-08-13,Prospecting,NY,Facebook - Prospecting - C02,94136,1198,1012.92,2373.37,Facebook
2025-08-14,Prospecting,NY,Facebook - Prospecting - C02,365257,3961,3845.39,7699.55,Facebook
2025-08-15,Prospecting,NY,Facebook - Prospecting - C02,125398,1465,1614.45,3421.23,Facebook
2025-08-16,Prospecting,NY,Facebook - Prospecting - C02,183475,2375,1302.18,2697.95,Facebook
2025-08-17,Prospecting,NY,Facebook - Prospecting - C02,259374,3354,2578.26,6661.71,Facebook
2025-08-18,Prospecting,NY,Facebook - Prospecting - C02,182605,2372,1604.05,4121.94,Facebook
2025-08-19,Prospecting,NY,Facebook - Prospecting - C02,146142,1833,1897.27,5341.42,Facebook
2025-08-20,Prospecting,NY,Facebook - Prospecting - C02,119915,1365,869.86,2466.38,Facebook
2025-08-21,Prospecting,NY,Facebook - Prospecting - C02,120633,1329,841.73,1999.41,Facebook
2025-08-22,Prospecting,NY,Facebook - Prospecting - C02,120231,1582,908.48,2532.38,Facebook
2025-08-23,Prospecting,NY,Facebook - Prospecting - C02,166072,1829,1648.26,4467.19,Facebook
2025-08-24,Prospecting,NY,Facebook - Prospecting - C02,341441,3776,3949.42,8967.73,Facebook
2025-08-25,Prospecting,NY,Facebook - Prospecting - C02,79697,1013,772.1,1997.53,Facebook
2025-08-26,Prospecting,NY,Facebook - Prospecting - C02,204284,2233,2972.93,8173.3,Facebook
2025-08-27,Prospecting,NY,Facebook - Prospecting - C02,241419,3141,2035.35,4383.41,Facebook
2025-08-28,Prospecting,NY,Facebook - Prospecting - C02,272435,3121,3479.69,7603.91,Facebook
2025-08-29,Prospecting,NY,Facebook - Prospecting - C02,169564,2164,1901.04,4338.64,Facebook
2025-08-30,Prospecting,NY,Facebook - Prospecting - C02,195142,2474,1892.86,5110.79,Facebook
2025-08-31,Prospecting,NY,Facebook - Prospecting - C02,129890,1414,1733.73,4125.71,Facebook
2025-09-01,Prospecting,NY,Facebook - Prospecting - C02,234122,2781,2817.06,7546.77,Facebook
2025-09-02,Prospecting,NY,Facebook - Prospecting - C02,180465,2182,1521.57,3388.53,Facebook
2025-09-03,Prospecting,NY,Facebook - Prospecting - C02,244905,3045,2929.81,6539.89,Facebook
2025-09-04,Prospecting,NY,Facebook - Prospecting - C02,305086,3594,3689.35,9892.0,Facebook
2025-09-05,Prospecting,NY,Facebook - Prospecting - C02,227391,2839,1252.12,2591.91,Facebook
2025-09-06,Prospecting,NY,Facebook - Prospecting - C02,166069,2103,1382.44,3128.57,Facebook
2025-09-07,Prospecting,NY,Facebook - Prospecting - C02,248776,2908,2524.95,5323.16,Facebook
2025-09-08,Prospecting,NY,Facebook - Prospecting - C02,161903,2137,1690.25,4018.86,Facebook
2025-09-09,Prospecting,NY,Facebook - Prospecting - C02,344137,3804,2666.59,7169.27,Facebook
2025-09-10,Prospecting,NY,Facebook - Prospecting - C02,222706,2632,2233.39,4712.47,Facebook
2025-09-11,Prospecting,NY,Facebook - Prospecting - C02,271375,3056,2084.7,4767.24,Facebook
2025-09-12,Prospecting,NY,Facebook - Prospecting - C02,286259,3157,3929.82,9394.77,Facebook
2025-05-16,Prospecting,NY,Facebook - Prospecting - C03,167543,2060,1186.48,2750.87,Facebook
2025-05-17,Prospecting,NY,Facebook - Prospecting - C03,129769,1570,1423.57,3917.57,Facebook
2025-05-18,Prospecting,NY,Facebook - Prospecting - C03,107831,1234,1337.6,3439.31,Facebook
2025-05-19,Prospecting,NY,Facebook - Prospecting - C03,232649,2664,3465.87,7393.95,Facebook
2025-05-20,Prospecting,NY,Facebook - Prospecting - C03,160577,1791,1724.63,4152.58,Facebook
2025-05-21,Prospecting,NY,Facebook - Prospecting - C03,88673,1132,1166.24,3041.6,Facebook
2025-05-22,Prospecting,NY,Facebook - Prospecting - C03,196134,2183,1244.9,2544.18,Facebook
2025-05-23,Prospecting,NY,Facebook - Prospecting - C03,104808,1280,751.92,1850.15,Facebook
2025-05-24,Prospecting,NY,Facebook - Prospecting - C03,230031,2615,1890.05,4473.58,Facebook
2025-05-25,Prospecting,NY,Facebook - Prospecting - C03,151206,1892,1122.21,2913.13,Facebook
2025-05-26,Prospecting,NY,Facebook - Prospecting - C03,89811,1157,726.7,1838.46,Facebook
2025-05-27,Prospecting,NY,Facebook - Prospecting - C03,170658,2109,1869.5,4132.64,Facebook
2025-05-28,Prospecting,NY,Facebook - Prospecting - C03,116842,1456,1015.78,2865.98,Facebook
2025-05-29,Prospecting,NY,Facebook - Prospecting - C03,161418,1984,2022.76,5081.45,Facebook
2025-05-30,Prospecting,NY,Facebook - Prospecting - C03,151220,1863,1368.93,2914.07,Facebook
2025-05-31,Prospecting,NY,Facebook - Prospecting - C03,109443,1402,1432.96,4015.79,Facebook
2025-06-01,Prospecting,NY,Facebook - Prospecting - C03,83409,968,492.98,1066.0,Facebook
2025-06-02,Prospecting,NY,Facebook - Prospecting - C03,90751,1139,684.11,1748.25,Facebook
2025-06-03,Prospecting,NY,Facebook - Prospecting - C03,182790,2375,1716.68,4221.97,Facebook
2025-06-04,Prospecting,NY,Facebook - Prospecting - C03,130749,1430,1590.98,4146.03,Facebook
2025-06-05,Prospecting,NY,Facebook - Prospecting - C03,89736,1017,1049.94,2557.92,Facebook
2025-06-06,Prospecting,NY,Facebook - Prospecting - C03,199543,2269,2174.42,4686.96,Facebook
2025-06-07,Prospecting,NY,Facebook - Prospecting - C03,202376,2615,1315.49,2893.17,Facebook
2025-06-08,Prospecting,NY,Facebook - Prospecting - C03,208512,2640,2031.71,5613.6,Facebook
2025-06-09,Prospecting,NY,Facebook - Prospecting - C03,80570,946,987.27,2525.07,Facebook
2025-06-10,Prospecting,NY,Facebook - Prospecting - C03,190371,2500,1425.11,3483.34,Facebook
2025-06-11,Prospecting,NY,Facebook - Prospecting - C03,193258,2402,1357.0,3060.69,Facebook
2025-06-12,Prospecting,NY,Facebook - Prospecting - C03,223911,2424,1437.79,3393.11,Facebook
2025-06-13,Prospecting,NY,Facebook - Prospecting - C03,163279,1813,1269.12,2722.81,Facebook
2025-06-14,Prospecting,NY,Facebook - Prospecting - C03,87019,1010,1068.85,2443.65,Facebook
2025-06-15,Prospecting,NY,Facebook - Prospecting - C03,175207,2161,2354.73,5433.72,Facebook
2025-06-16,Prospecting,NY,Facebook - Prospecting - C03,213409,2625,1887.49,3841.16,Facebook
2025-06-17,Prospecting,NY,Facebook - Prospecting - C03,117735,1461,979.28,2185.55,Facebook
2025-06-18,Prospecting,NY,Facebook - Prospecting - C03,104085,1341,828.97,1984.98,Facebook
2025-06-19,Prospecting,NY,Facebook - Prospecting - C03,153635,1964,1297.87,3381.98,Facebook
2025-06-20,Prospecting,NY,Facebook - Prospecting - C03,75272,960,920.98,1877.13,Facebook
2025-06-21,Prospecting,NY,Facebook - Prospecting - C03,137834,1711,1327.57,3633.3,Facebook
2025-06-22,Prospecting,NY,Facebook - Prospecting - C03,198567,2450,2799.97,6314.98,Facebook
2025-06-23,Prospecting,NY,Facebook - Prospecting - C03,172969,2240,1817.13,3866.24,Facebook
2025-06-24,Prospecting,NY,Facebook - Prospecting - C03,86642,1132,767.99,1943.8,Facebook
2025-06-25,Prospecting,NY,Facebook - Prospecting - C03,86636,1091,721.06,1559.62,Facebook
2025-06-26,Prospecting,NY,Facebook - Prospecting - C03,118749,1304,1177.08,2699.75,Facebook
2025-06-27,Prospecting,NY,Facebook - Prospecting - C03,105268,1269,1459.97,3071.12,Facebook
